 Day:+25, З 1м/с, 746,  Evening:+23, 744
 Day:+22, СВ 3м/с, 746,  Evening:+18, 746
 Day:+29, СЗ 2м/с, 748,  Evening:+22, 749
 Day:+30, СЗ 2м/с, 751,  Evening:+25, 752
 Day:+31, З 2м/с, 752,  Evening:+26, 752
 Day:+33, З 2м/с, 750,  Evening:+23, 749
 Day:+24, С 2м/с, 749,  Evening:+23, 750
 Day:+25, СЗ 2м/с, 752,  Evening:+21, 752
 Day:+22, С 2м/с, 752,  Evening:+17, 751
 Day:+16, В 2м/с, 745,  Evening:+15, 743
 Day:+27, В 2м/с, 737,  Evening:+23, 737
 Day:+26, З 3м/с, 738,  Evening:+21, 740
 Day:+13, З 2м/с, 752,  Evening:+10, 752
 Day:+12, ЮВ 3м/с, 746,  Evening:+12, 744
 Day:+17, ЮВ 3м/с, 743,  Evening:+11, 743
 Day:+20, З 2м/с, 749,  Evening:+14, 751
 Day:+18, ЮВ 2м/с, 753,  Evening:+13, 752
 Day:+24, ЮВ 1м/с, 747,  Evening:+20, 746
 Day:+19, З 2м/с, 746,  Evening:+18, 746
 Day:+25, З 2м/с, 749,  Evening:+17, 749
 Day:+28, В 2м/с, 749,  Evening:+24, 749
 Day:+30, В 3м/с, 749,  Evening:+25, 749
 Day:+32, В 2м/с, 750,  Evening:+26, 751
 Day:+32, СВ 1м/с, 752,  Evening:+24, 752
 Day:+32, СЗ 1м/с, 750,  Evening:+19, 750
 Day:+30, З 2м/с, 747,  Evening:+19, 747
 Day:+26, В 1м/с, 749,  Evening:+24, 749
 Day:+22, В 3м/с, 747,  Evening:+17, 748
 Day:+15, СЗ 3м/с, 751,  Evening:+10, 751
 Day:+17, З 3м/с, 745,  Evening:+12, 746
 Day:+13, С 2м/с, 746,  Evening:+8, 749
 Day:+11, С 2м/с, 750,  Evening:+7, 751
 Day:+16, З 3м/с, 752,  Evening:+10, 752
 Day:+14, В 3м/с, 749,  Evening:+13, 747
 Day:+24, ЮЗ 4м/с, 743,  Evening:+19, 741
 Day:+13, С 2м/с, 746,  Evening:+9, 749
 Day:+15, З 1м/с, 752,  Evening:+12, 751
 Day:+22, ЮВ 2м/с, 748,  Evening:+20, 746
 Day:+25, З 4м/с, 745,  Evening:+17, 747
 Day:+25, С 3м/с, 750,  Evening:+19, 752
 Day:+28, СЗ 3м/с, 753,  Evening:+19, 753
 Day:+30, ЮЗ 2м/с, 753,  Evening:+21, 752
 Day:+8, З 3м/с, 748,  Evening:+6, 749
 Day:+6, СВ 2м/с, 751,  Evening:+3, 750
 Day:+2, СВ 3м/с, 746,  Evening:+2, 747
 Day:+5, СВ 2м/с, 752,  Evening:+4, 752
 Day:+6, З 2м/с, 757,  Evening:+3, 758
 Day:+7, В 2м/с, 760,  Evening:+6, 758
 Day:+6, В 2м/с, 756,  Evening:+6, 755
 Day:+8, С 1м/с, 754,  Evening:+7, 753
 Day:+14, ЮВ 1м/с, 752,  Evening:+11, 752
 Day:+18, Ю 1м/с, 753,  Evening:+15, 753
 Day:+19, ЮВ 2м/с, 753,  Evening:+15, 752
 Day:+20, ЮВ 1м/с, 749,  Evening:+16, 749
 Day:+20, С 2м/с, 746,  Evening:+11, 747
 Day:+11, СВ 3м/с, 750,  Evening:+7, 752
 Day:+12, СЗ 2м/с, 754,  Evening:+7, 754
 Day:+11, С 3м/с, 751,  Evening:+6, 752
 Day:+5, С 2м/с, 759,  Evening:+1, 760
 Day:+7, СВ 2м/с, 758,  Evening:+4, 758
 Day:+9, СЗ 2м/с, 757,  Evening:+4, 757
 Day:+13, З 1м/с, 756,  Evening:+7, 756
 Day:+13, С 3м/с, −,  Evening:+9, 755
 Day:+16, С 1м/с, 755,  Evening:+9, 755
 Day:+14, СЗ 3м/с, 753,  Evening:+10, 753
 Day:+17, З 2м/с, 752,  Evening:+13, 751
 Day:+22, СЗ 2м/с, 750,  Evening:+16, 749
 Day:+18, С 2м/с, 751,  Evening:+13, 751
 Day:+21, ЮЗ 3м/с, 746,  Evening:+19, 744
 Day:+11, С 2м/с, 740,  Evening:+2, 745
 Day:+6, С 2м/с, 751,  Evening:+3, 752
 Day:-2, ЮВ 2м/с, 729,  Evening:-1, 728
 Day:-2, С 2м/с, 728,  Evening:-6, 731
 Day:-4, З 2м/с, 740,  Evening:-7, 739
 Day:-2, З 3м/с, 738,  Evening:-5, 739
 Day:-3, ЮВ 2м/с, 743,  Evening:+1, 741
 Day:+4, ЮЗ 3м/с, 739,  Evening:+2, 740
 Day:-3, С 2м/с, 757,  Evening:-11, 760
 Day:-5, Ю 2м/с, 761,  Evening:-8, 759
 Day:0, Ю 3м/с, 749,  Evening:+2, 748
 Day:+1, В 2м/с, 746,  Evening:+1, 743
 Day:+2, ЮВ 3м/с, 736,  Evening:+1, 734
 Day:+2, З 4м/с, 739,  Evening:0, 745
 Day:+1, ЮВ 1м/с, 747,  Evening:-1, 746
 Day:0, СЗ 2м/с, 747,  Evening:-4, 752
 Day:0, ЮЗ 1м/с, 755,  Evening:-4, 755
 Day:0, В 4м/с, 752,  Evening:-3, 752
 Day:+1, В 2м/с, 752,  Evening:-2, 754
 Day:+5, С 1м/с, 757,  Evening:-1, 758
 Day:+6, З 2м/с, 758,  Evening:-1, 758
 Day:+7, З 1м/с, 756,  Evening:+2, 755
 Day:+4, Ш, 752,  Evening:+1, 751
 Day:+1, В 2м/с, 748,  Evening:0, 746
 Day:+3, В 1м/с, 751,  Evening:0, 752
 Day:+1, В 3м/с, 750,  Evening:+1, 746
 Day:+1, ЮЗ 4м/с, 737,  Evening:+1, 742
 Day:+5, Ю 2м/с, 749,  Evening:+3, 748
 Day:+5, Ю 2м/с, 750,  Evening:+2, 750
 Day:+3, СЗ 1м/с, 746,  Evening:0, 746
 Day:+3, ЮЗ 3м/с, 747,  Evening:-1, 749
 Day:+1, ЮЗ 3м/с, 749,  Evening:0, 748
 Day:-8, Ю 1м/с, 758,  Evening:-13, 758
 Day:-11, З 1м/с, 757,  Evening:-12, 757
 Day:-10, Ю 1м/с, 758,  Evening:-11, 758
 Day:-5, Ш, 758,  Evening:-6, 760
 Day:-11, В 4м/с, 761,  Evening:-13, 761
 Day:-11, В 2м/с, 761,  Evening:-11, 760
 Day:-8, В 3м/с, 749,  Evening:-7, 748
 Day:-4, СЗ 2м/с, 756,  Evening:-5, 757
 Day:-6, З 2м/с, 758,  Evening:-8, 758
 Day:-8, ЮЗ 1м/с, 757,  Evening:-13, 757
 Day:-8, Ю 1м/с, 758,  Evening:-13, 759
 Day:-7, Ю 1м/с, 760,  Evening:-14, 760
 Day:-10, В 3м/с, 758,  Evening:-12, 756
 Day:-7, ЮЗ 2м/с, 752,  Evening:-6, 753
 Day:-5, ЮЗ 2м/с, 749,  Evening:-6, 743
 Day:+2, З 2м/с, 740,  Evening:0, 740
 Day:-1, ЮЗ 2м/с, 734,  Evening:-2, 729
 Day:-1, С 2м/с, 729,  Evening:-6, 734
 Day:-10, СЗ 4м/с, 746,  Evening:-10, 747
 Day:-3, ЮЗ 2м/с, 745,  Evening:-4, 744
 Day:-5, Ю 2м/с, 742,  Evening:-2, 740
 Day:-4, ЮЗ 3м/с, 741,  Evening:-7, 746
 Day:-7, СЗ 2м/с, 755,  Evening:-9, 756
 Day:-9, З 2м/с, 755,  Evening:-11, 753
 Day:-8, ЮВ 1м/с, 746,  Evening:-8, 743
 Day:-5, В 3м/с, 739,  Evening:-6, 740
 Day:-4, В 2м/с, 743,  Evening:-6, 742
 Day:-18, В 3м/с, 758,  Evening:-15, 757
 Day:-6, Ю 2м/с, 757,  Evening:-6, 757
 Day:-7, В 3м/с, 758,  Evening:-8, 758
 Day:-9, В 2м/с, 755,  Evening:-8, 753
 Day:-10, В 3м/с, 744,  Evening:-5, 742
 Day:-8, З 2м/с, 749,  Evening:-12, 752
 Day:-15, СЗ 2м/с, 753,  Evening:-17, 753
 Day:-17, З 3м/с, 750,  Evening:-18, 750
 Day:-14, З 2м/с, 754,  Evening:-12, 755
 Day:-9, З 1м/с, 758,  Evening:-9, 758
 Day:-12, В 2м/с, 754,  Evening:-12, 751
 Day:0, Ю 2м/с, 737,  Evening:0, 735
 Day:-8, ЮЗ 2м/с, 740,  Evening:-8, 740
 Day:-9, Ю 1м/с, 743,  Evening:-8, 745
 Day:-3, Ю 4м/с, 744,  Evening:-2, 745
 Day:-4, В 4м/с, 740,  Evening:-3, 739
 Day:-7, СЗ 1м/с, 746,  Evening:-8, 749
 Day:-8, ЮЗ 3м/с, 747,  Evening:-6, 748
 Day:-2, Ю 1м/с, 746,  Evening:-1, 744
 Day:-7, З 1м/с, 750,  Evening:-11, 752
 Day:-10, Ю 2м/с, 750,  Evening:-9, 746
 Day:-11, ЮЗ 2м/с, 747,  Evening:-15, 750
 Day:-18, З 1м/с, 756,  Evening:-21, 758
 Day:-20, В 3м/с, 757,  Evening:-14, 749
 Day:-13, СЗ 2м/с, 753,  Evening:-19, 757
 Day:-16, В 2м/с, 761,  Evening:-20, 761
 Day:-13, В 5м/с, 755,  Evening:-13, 755
 Day:-11, В 4м/с, 755,  Evening:-10, 752
 Day:-9, СВ 1м/с, 751,  Evening:-9, 752
 Day:-6, СЗ 1м/с, 755,  Evening:-13, 756
 Day:-9, З 1м/с, 770,  Evening:-13, 769
 Day:-10, ЮВ 2м/с, 763,  Evening:-11, 761
 Day:-3, Ю 1м/с, 758,  Evening:-4, 759
 Day:-3, ЮВ 1м/с, 761,  Evening:-3, 761
 Day:-5, ЮВ 1м/с, 761,  Evening:-8, 760
 Day:-7, В 3м/с, 755,  Evening:-7, 753
 Day:-6, В 2м/с, 749,  Evening:-6, 749
 Day:-2, В 1м/с, 752,  Evening:-2, 752
 Day:-3, Ю 2м/с, 752,  Evening:-4, 753
 Day:-3, Ю 3м/с, 755,  Evening:-3, 756
 Day:-5, В 2м/с, 755,  Evening:-7, 755
 Day:-7, В 4м/с, 752,  Evening:-5, 752
 Day:-2, В 1м/с, 752,  Evening:-3, 752
 Day:-3, В 4м/с, 751,  Evening:-3, 751
 Day:-1, СВ 3м/с, 755,  Evening:-3, 757
 Day:-8, С 2м/с, 761,  Evening:-8, 762
 Day:-6, Ш, 763,  Evening:-6, 764
 Day:-8, В 1м/с, 765,  Evening:-9, 766
 Day:-9, В 1м/с, 767,  Evening:-10, 768
 Day:-10, В 2м/с, 769,  Evening:-10, 768
 Day:-13, ЮВ 1м/с, 765,  Evening:-15, 764
 Day:-15, В 2м/с, 758,  Evening:-14, 756
 Day:-11, ЮВ 2м/с, 755,  Evening:-11, 754
 Day:-9, В 4м/с, 753,  Evening:-10, 755
 Day:-12, В 3м/с, 755,  Evening:-12, 755
 Day:-8, ЮВ 4м/с, 747,  Evening:-9, 745
 Day:-5, В 3м/с, 745,  Evening:-5, 745
 Day:-4, СЗ 1м/с, 742,  Evening:-6, 744
 Day:-10, З 1м/с, 751,  Evening:-11, 752
 Day:-13, З 1м/с, 757,  Evening:-16, 758
 Day:+3, З 3м/с, 772,  Evening:0, 771
 Day:+5, З 4м/с, 767,  Evening:+4, 767
 Day:+7, З 2м/с, 763,  Evening:+5, 761
 Day:+4, З 4м/с, 752,  Evening:+5, 750
 Day:+6, С 1м/с, 756,  Evening:+4, 758
 Day:+5, СЗ 1м/с, 759,  Evening:+3, 758
 Day:+4, З 2м/с, 757,  Evening:+2, 756
 Day:+2, З 1м/с, 753,  Evening:+2, 754
 Day:+1, СВ 1м/с, 758,  Evening:-1, 758
 Day:-3, СВ 4м/с, 761,  Evening:-7, 765
 Day:-5, В 2м/с, 774,  Evening:-7, 776
 Day:-6, Ю 1м/с, 776,  Evening:-8, 775
 Day:-5, СЗ 1м/с, 773,  Evening:-10, 771
 Day:-5, З 1м/с, 768,  Evening:-8, 767
 Day:-5, В 1м/с, 770,  Evening:-10, 770
 Day:-2, З 1м/с, 770,  Evening:-9, 770
 Day:0, З 4м/с, 761,  Evening:+1, 757
 Day:+3, З 1м/с, 755,  Evening:-1, 755
 Day:+1, З 1м/с, 757,  Evening:0, 757
 Day:+1, СЗ 1м/с, 753,  Evening:-1, 752
 Day:-2, З 3м/с, 744,  Evening:-1, 743
 Day:-3, ЮЗ 4м/с, 740,  Evening:-4, 735
 Day:-7, СЗ 4м/с, 743,  Evening:-7, 748
 Day:-5, З 6м/с, 747,  Evening:-4, 749
 Day:-4, З 3м/с, 747,  Evening:-4, 749
 Day:-5, Ю 1м/с, 745,  Evening:-4, 744
 Day:-4, Ш, 748,  Evening:-8, 749
 Day:-8, С 1м/с, 746,  Evening:-8, 749
 Day:-11, СЗ 2м/с, 761,  Evening:-13, 765
 Day:+13, З 3м/с, 755,  Evening:+9, 756
 Day:+15, ЮЗ 2м/с, 755,  Evening:+11, 753
 Day:+20, Ю 2м/с, 747,  Evening:+18, 745
 Day:+15, З 4м/с, 742,  Evening:+11, 744
 Day:+9, СЗ 2м/с, 744,  Evening:+6, 748
 Day:+8, З 3м/с, 752,  Evening:+7, 752
 Day:+17, З 5м/с, 752,  Evening:+13, 753
 Day:+18, ЮЗ 4м/с, 752,  Evening:+14, 754
 Day:+7, В 1м/с, 758,  Evening:+7, 758
 Day:+15, ЮЗ 2м/с, 755,  Evening:+13, 752
 Day:+11, СЗ 4м/с, 750,  Evening:+8, 752
 Day:+8, СЗ 3м/с, 756,  Evening:+8, 755
 Day:+9, СЗ 2м/с, 755,  Evening:+5, 754
 Day:+7, СЗ 1м/с, 755,  Evening:+4, 755
 Day:+9, ЮЗ 2м/с, 755,  Evening:+9, 755
 Day:+18, СЗ 3м/с, 753,  Evening:+13, 753
 Day:+15, СЗ 4м/с, 751,  Evening:+11, 755
 Day:+12, ЮЗ 1м/с, 756,  Evening:+9, 755
 Day:+17, З 3м/с, 751,  Evening:+13, 750
 Day:+13, З 2м/с, 749,  Evening:+8, 751
 Day:+8, С 1м/с, 755,  Evening:+7, 757
 Day:+9, З 1м/с, 757,  Evening:+6, 755
 Day:+10, ЮВ 2м/с, 747,  Evening:+9, 743
 Day:+11, ЮЗ 1м/с, 740,  Evening:+9, 740
 Day:+12, Ю 1м/с, 734,  Evening:+11, 731
 Day:+7, ЮЗ 2м/с, 737,  Evening:+5, 740
 Day:+4, З 2м/с, 749,  Evening:+3, 750
 Day:+7, З 3м/с, 745,  Evening:+8, 749
 Day:+3, С 1м/с, 759,  Evening:-1, 763
 Day:0, СВ 1м/с, 768,  Evening:-3, 770
 Day:+29, ЮВ 2м/с, 758,  Evening:+24, 756
 Day:+25, З 2м/с, 755,  Evening:+18, 756
 Day:+23, СЗ 1м/с, 756,  Evening:+18, 757
 Day:+22, В 3м/с, 758,  Evening:+18, 757
 Day:+25, В 1м/с, 756,  Evening:+20, 755
 Day:+24, В 2м/с, 753,  Evening:+18, 753
 Day:+23, СВ 3м/с, 753,  Evening:+19, 754
 Day:+23, З 2м/с, 755,  Evening:+14, 755
 Day:+25, ЮЗ 2м/с, 754,  Evening:+14, 755
 Day:+23, С 1м/с, 755,  Evening:+15, 757
 Day:+21, В 2м/с, 758,  Evening:+16, 758
 Day:+23, В 2м/с, 756,  Evening:+15, 755
 Day:+24, З 2м/с, 752,  Evening:+22, 750
 Day:+18, В 1м/с, 753,  Evening:+16, 753
 Day:+23, В 2м/с, 752,  Evening:+17, 752
 Day:+26, В 2м/с, 749,  Evening:+20, 748
 Day:+19, СЗ 2м/с, 745,  Evening:, 
 Day:+17, З 3м/с, 746,  Evening:+13, 746
 Day:+16, СЗ 2м/с, 750,  Evening:+14, 752
 Day:+22, ЮЗ 1м/с, 753,  Evening:+14, 753
 Day:+24, Ю 3м/с, 751,  Evening:+18, 749
 Day:+17, В 2м/с, 746,  Evening:+15, 746
 Day:+19, Ю 2м/с, 746,  Evening:+18, 746
 Day:+12, З 2м/с, 752,  Evening:+10, 753
 Day:+11, ЮЗ 3м/с, 747,  Evening:+7, 745
 Day:+14, З 3м/с, 746,  Evening:+13, 745
 Day:+15, З 1м/с, 749,  Evening:+12, 749
 Day:+29, СВ 2м/с, 752,  Evening:+22, 752
 Day:+29, З 2м/с, 749,  Evening:+23, 749
 Day:+29, З 1м/с, 746,  Evening:+22, 745
 Day:+30, ЮЗ 3м/с, 744,  Evening:+25, 744
 Day:+31, З 3м/с, 743,  Evening:+22, 743
 Day:+30, З 3м/с, 743,  Evening:+25, 743
 Day:+27, С 2м/с, 743,  Evening:+22, 743
 Day:+21, СЗ 2м/с, 743,  Evening:+18, 746
 Day:+19, СЗ 4м/с, 751,  Evening:+15, 753
 Day:+22, СЗ 3м/с, 755,  Evening:+14, 754
 Day:+29, СЗ 3м/с, 751,  Evening:+21, 751
 Day:+30, З 2м/с, 749,  Evening:+20, 748
 Day:+30, З 2м/с, 746,  Evening:+25, 745
 Day:+24, СЗ 3м/с, 746,  Evening:+15, 749
 Day:+25, СЗ 1м/с, 752,  Evening:+18, 752
 Day:+30, З 3м/с, 749,  Evening:+24, 749
 Day:+21, СВ 3м/с, 751,  Evening:+18, 752
 Day:+20, С 3м/с, 752,  Evening:+16, 753
 Day:+20, С 1м/с, 752,  Evening:+16, 752
 Day:+23, ЮЗ 2м/с, 750,  Evening:+18, 749
 Day:+29, З 3м/с, 747,  Evening:+24, 746
 Day:+17, СЗ 2м/с, 744,  Evening:+15, 745
 Day:+19, СЗ 3м/с, 750,  Evening:+14, 752
 Day:+23, З 4м/с, 751,  Evening:+18, 750
 Day:+23, С 2м/с, 749,  Evening:+16, 751
 Day:+23, СВ 1м/с, 752,  Evening:+18, 752
 Day:+25, С 1м/с, 752,  Evening:+15, 752
 Day:+25, ЮВ 1м/с, 754,  Evening:+15, 755
 Day:+27, СЗ 1м/с, 755,  Evening:+18, 756
 Day:+29, З 2м/с, 756,  Evening:+18, 756
 Day:+33, В 2м/с, 749,  Evening:+29, 749
 Day:+34, В 2м/с, 750,  Evening:+30, 749
 Day:+36, В 5м/с, 744,  Evening:+29, 743
 Day:+30, З 2м/с, 746,  Evening:+26, 744
 Day:+28, З 4м/с, 742,  Evening:+23, 743
 Day:+26, З 2м/с, 745,  Evening:+20, 745
 Day:+27, ЮВ 2м/с, 743,  Evening:+24, 742
 Day:+29, СЗ 2м/с, 740,  Evening:+21, 741
 Day:+27, З 4м/с, 743,  Evening:+23, 743
 Day:+26, З 2м/с, 746,  Evening:+23, 746
 Day:+27, З 3м/с, 746,  Evening:+22, 746
 Day:+27, ЮЗ 2м/с, 746,  Evening:+23, 745
 Day:+25, СЗ 1м/с, 744,  Evening:+21, 744
 Day:+28, В 2м/с, 743,  Evening:+24, 743
 Day:+31, СВ 1м/с, 743,  Evening:+27, 744
 Day:+28, ЮВ 2м/с, 744,  Evening:+28, 743
 Day:+19, В 3м/с, 742,  Evening:+20, 741
 Day:+23, В 2м/с, 741,  Evening:+18, 742
 Day:+30, В 1м/с, 743,  Evening:+25, 743
 Day:+29, З 2м/с, 743,  Evening:+24, 743
 Day:+19, В 3м/с, 744,  Evening:+19, 745
 Day:+22, ЮВ 3м/с, 747,  Evening:+20, 748
 Day:+23, В 4м/с, 749,  Evening:+21, 750
 Day:+28, ЮВ 2м/с, 752,  Evening:+22, 752
 Day:+31, В 2м/с, 753,  Evening:+27, 753
 Day:+33, ЮВ 2м/с, 755,  Evening:+28, 755
 Day:+32, ЮВ 2м/с, 755,  Evening:+28, 755
 Day:+32, Ю 1м/с, 752,  Evening:+23, 752
 Day:+27, С 2м/с, 751,  Evening:+18, 752
 Day:+19, С 2м/с, 752,  Evening:+19, 752
 Day:+7, С 1м/с, 746,  Evening:+5, 747
 Day:+13, З 4м/с, 746,  Evening:+13, 744
 Day:+17, Ш, 744,  Evening:+16, 743
 Day:+25, З 4м/с, 739,  Evening:+22, 739
 Day:+28, ЮЗ 4м/с, 736,  Evening:+25, 735
 Day:+19, З 4м/с, 741,  Evening:+13, 744
 Day:+15, З 4м/с, 750,  Evening:+11, 752
 Day:+18, З 3м/с, 750,  Evening:+17, 747
 Day:+13, З 2м/с, 743,  Evening:+11, 744
 Day:+16, С 2м/с, 744,  Evening:+11, 745
 Day:+16, С 2м/с, 746,  Evening:+10, 747
 Day:+19, З 2м/с, 748,  Evening:+15, 746
 Day:+22, З 5м/с, 743,  Evening:+17, 742
 Day:+21, СЗ 3м/с, 747,  Evening:+16, 748
 Day:+19, СЗ 3м/с, 749,  Evening:+14, 750
 Day:+21, СЗ 2м/с, 750,  Evening:+16, 750
 Day:+24, СЗ 3м/с, 748,  Evening:+18, 748
 Day:+26, С 2м/с, 746,  Evening:+21, 746
 Day:+29, З 2м/с, 746,  Evening:+20, 745
 Day:+27, З 4м/с, 740,  Evening:+18, 743
 Day:+24, З 6м/с, 743,  Evening:+20, 743
 Day:+25, С 2м/с, 746,  Evening:+20, 747
 Day:+28, СЗ 2м/с, 747,  Evening:+25, 748
 Day:+31, СЗ 3м/с, 749,  Evening:+23, 749
 Day:+33, СВ 1м/с, 751,  Evening:+25, 751
 Day:+32, СЗ 1м/с, 751,  Evening:+25, 751
 Day:+29, СЗ 2м/с, 749,  Evening:+25, 749
 Day:+28, СЗ 3м/с, 747,  Evening:+23, 747
 Day:+29, С 1м/с, 745,  Evening:+25, 745
 Day:+19, С 2м/с, 752,  Evening:+13, 753
 Day:+27, ЮЗ 4м/с, 752,  Evening:+22, 752
 Day:+27, ЮЗ 3м/с, 751,  Evening:+22, 750
 Day:+20, СЗ 2м/с, 754,  Evening:+12, 756
 Day:+16, В 2м/с, 759,  Evening:+13, 758
 Day:+21, ЮЗ 3м/с, 756,  Evening:+17, 754
 Day:+17, З 2м/с, 752,  Evening:+15, 751
 Day:+21, З 2м/с, 749,  Evening:+14, 748
 Day:+23, СЗ 3м/с, 745,  Evening:+14, 747
 Day:+12, СВ 3м/с, 747,  Evening:+11, 747
 Day:+14, В 3м/с, 746,  Evening:+14, 746
 Day:+22, СЗ 2м/с, 749,  Evening:+14, 750
 Day:+23, СВ 2м/с, 754,  Evening:+18, 754
 Day:+25, СЗ 2м/с, 753,  Evening:+17, 752
 Day:+26, СЗ 2м/с, 751,  Evening:+17, 750
 Day:+26, З 1м/с, 750,  Evening:+21, 751
 Day:+23, Ш, 749,  Evening:+20, 749
 Day:+27, З 1м/с, 748,  Evening:+20, 748
 Day:+24, З 2м/с, 746,  Evening:+19, 746
 Day:+25, З 3м/с, 749,  Evening:+19, 751
 Day:+18, С 2м/с, 755,  Evening:+15, 757
 Day:+22, СЗ 2м/с, 760,  Evening:+14, 759
 Day:+25, З 1м/с, 758,  Evening:+17, 756
 Day:+26, СВ 2м/с, 752,  Evening:+21, 749
 Day:+15, С 2м/с, 749,  Evening:+10, 752
 Day:+13, С 3м/с, 758,  Evening:+11, 759
 Day:+19, З 3м/с, 755,  Evening:+17, 752
 Day:+15, СЗ 2м/с, 752,  Evening:+9, 754
 Day:+17, З 3м/с, 754,  Evening:+16, 751
 Day:+24, З 6м/с, 741,  Evening:+13, 740
 Day:-2, ЮЗ 3м/с, 755,  Evening:0, 755
 Day:+5, ЮВ 2м/с, 756,  Evening:0, 755
 Day:+5, ЮВ 4м/с, 754,  Evening:+3, 752
 Day:+2, ЮВ 1м/с, 752,  Evening:+1, 751
 Day:+3, С 2м/с, 749,  Evening:+3, 749
 Day:+9, СЗ 2м/с, 753,  Evening:+1, 754
 Day:+4, ЮЗ 3м/с, 749,  Evening:+2, 749
 Day:+5, СЗ 4м/с, 752,  Evening:+4, 755
 Day:+9, ЮЗ 3м/с, 757,  Evening:+4, 757
 Day:+12, З 3м/с, 755,  Evening:+9, 753
 Day:+13, З 2м/с, 749,  Evening:+1, 749
 Day:+6, СЗ 3м/с, 755,  Evening:+1, 755
 Day:+7, З 2м/с, 752,  Evening:+3, 754
 Day:+8, СЗ 3м/с, 758,  Evening:+2, 758
 Day:+9, ЮЗ 2м/с, 754,  Evening:+6, 752
 Day:+15, З 2м/с, 751,  Evening:+7, 751
 Day:+16, З 2м/с, 750,  Evening:+10, 750
 Day:+18, ЮВ 1м/с, 749,  Evening:+12, 747
 Day:+12, З 2м/с, 740,  Evening:+9, 740
 Day:+11, С 2м/с, 740,  Evening:+6, 742
 Day:+7, З 1м/с, 742,  Evening:+6, 740
 Day:+7, З 4м/с, 731,  Evening:+4, 735
 Day:+3, З 3м/с, 740,  Evening:0, 742
 Day:+5, З 3м/с, 745,  Evening:+3, 746
 Day:, Ш, ,  Evening:+8, 749
 Day:+8, Ю 2м/с, 744,  Evening:+11, 740
 Day:+15, ЮЗ 4м/с, 748,  Evening:+15, 749
 Day:+15, Ю 2м/с, 737,  Evening:+5, 741
 Day:+15, З 3м/с, 749,  Evening:+9, 751
 Day:-11, СВ 1м/с, 763,  Evening:-18, 761
 Day:-8, З 1м/с, 758,  Evening:-14, 757
 Day:-10, ЮВ 1м/с, 752,  Evening:-12, 749
 Day:-7, ЮВ 4м/с, 743,  Evening:-6, 740
 Day:-5, З 4м/с, 734,  Evening:-11, 737
 Day:-9, СЗ 3м/с, 746,  Evening:-13, 749
 Day:-8, З 2м/с, 755,  Evening:-12, 754
 Day:-8, В 4м/с, 748,  Evening:-10, 748
 Day:-4, СВ 2м/с, 751,  Evening:-9, 752
 Day:-4, С 1м/с, 753,  Evening:-10, 755
 Day:-9, СВ 2м/с, 757,  Evening:-11, 758
 Day:-7, Ю 1м/с, 761,  Evening:-12, 761
 Day:-8, З 3м/с, 760,  Evening:-13, 760
 Day:-7, З 2м/с, 758,  Evening:-12, 757
 Day:-5, Ю 4м/с, 752,  Evening:-5, 749
 Day:-2, ЮВ 2м/с, 744,  Evening:0, 744
 Day:-6, ЮВ 2м/с, 752,  Evening:-8, 750
 Day:-8, СЗ 4м/с, 740,  Evening:-14, 746
 Day:-10, З 2м/с, 754,  Evening:-11, 752
 Day:-1, З 1м/с, 749,  Evening:-10, 750
 Day:-4, В 2м/с, 745,  Evening:-5, 741
 Day:-3, СЗ 1м/с, 737,  Evening:-5, 737
 Day:+1, З 4м/с, 742,  Evening:-4, 743
 Day:0, ЮЗ 2м/с, 743,  Evening:-4, 743
 Day:+1, З 1м/с, 746,  Evening:-5, 746
 Day:+2, З 3м/с, 748,  Evening:-1, 748
 Day:+2, З 3м/с, 746,  Evening:-1, 746
 Day:0, СЗ 2м/с, 740,  Evening:-2, 744
 Day:-1, С 2м/с, 752,  Evening:-11, 752
 Day:0, З 2м/с, 755,  Evening:-6, 756
 Day:-6, В 1м/с, 747,  Evening:-6, 750
 Day:-6, З 1м/с, 756,  Evening:-7, 756
 Day:-6, Ю 2м/с, 757,  Evening:-7, 757
 Day:-4, ЮВ 3м/с, 754,  Evening:-3, 752
 Day:-5, ЮВ 4м/с, 750,  Evening:-6, 753
 Day:-6, В 2м/с, 761,  Evening:-6, 763
 Day:-5, В 3м/с, 770,  Evening:-6, 770
 Day:-7, ЮВ 2м/с, 767,  Evening:-9, 767
 Day:-7, В 2м/с, 765,  Evening:-9, 764
 Day:-5, В 2м/с, 762,  Evening:-9, 761
 Day:-5, С 1м/с, 757,  Evening:-8, 756
 Day:-7, СЗ 2м/с, 755,  Evening:-9, 755
 Day:-8, СЗ 1м/с, 757,  Evening:-13, 758
 Day:-8, З 1м/с, 762,  Evening:-16, 763
 Day:-7, З 1м/с, 767,  Evening:-13, 768
 Day:-6, В 2м/с, 769,  Evening:-10, 769
 Day:-7, ЮВ 1м/с, 766,  Evening:-10, 765
 Day:-6, В 4м/с, 761,  Evening:-7, 758
 Day:-8, ЮВ 2м/с, 755,  Evening:-8, 753
 Day:-5, З 2м/с, 749,  Evening:-8, 749
 Day:-6, З 2м/с, 751,  Evening:-11, 752
 Day:-10, З 1м/с, 754,  Evening:-15, 755
 Day:-11, Ш, 756,  Evening:-18, 756
 Day:-12, ЮВ 2м/с, 756,  Evening:-14, 755
